seed,n,m,k,negative_fraction,queries,repeat,order,method,ns_per_query,returned_positive,expected_exact_positive,backend_lookups
1,20000,200000,1,0.9,20000,2,1,set,31.24585,2000,2000,20000
1,20000,200000,1,0.9,20000,2,2,filtered_set,19.2646,2000,2000,3669
1,20000,200000,1,1,20000,0,0,filtered_set,9.60625,0,0,1856
1,20000,200000,1,1,20000,0,1,set,27.14375,0,0,20000
1,20000,200000,1,1,20000,0,2,bloom,6.30625,1856,0,0
1,20000,200000,1,1,20000,1,0,set,26.95415,0,0,20000
1,20000,200000,1,1,20000,1,1,filtered_set,8.88125,0,0,1856
1,20000,200000,1,1,20000,1,2,bloom,6.14165,1856,0,0
1,20000,200000,1,1,20000,2,0,filtered_set,8.4854,0,0,1856
1,20000,200000,1,1,20000,2,1,bloom,6.04375,1856,0,0
1,20000,200000,1,1,20000,2,2,set,26.65,0,0,20000
1,20000,200000,3,0,20000,0,0,bloom,10.2208,20000,20000,0
1,20000,200000,3,0,20000,0,1,set,18.9396,20000,20000,20000
1,20000,200000,3,0,20000,0,2,filtered_set,33.5,20000,20000,20000
1,20000,200000,3,0,20000,1,0,bloom,10.2271,20000,20000,0
1,20000,200000,3,0,20000,1,1,set,18.4542,20000,20000,20000
1,20000,200000,3,0,20000,1,2,filtered_set,33.2729,20000,20000,20000
1,20000,200000,3,0,20000,2,0,set,18.26665,20000,20000,20000
1,20000,200000,3,0,20000,2,1,bloom,10.53125,20000,20000,0
1,20000,200000,3,0,20000,2,2,filtered_set,33.19585,20000,20000,20000
1,20000,200000,3,0.5,20000,0,0,set,32.8729,10000,10000,20000
1,20000,200000,3,0.5,20000,0,1,filtered_set,37.09585,10000,10000,10213
1,20000,200000,3,0.5,20000,0,2,bloom,23.59165,10213,10000,0
1,20000,200000,3,0.5,20000,1,0,set,32.5729,10000,10000,20000
1,20000,200000,3,0.5,20000,1,1,filtered_set,40.3146,10000,10000,10213
1,20000,200000,3,0.5,20000,1,2,bloom,25.42085,10213,10000,0
1,20000,200000,3,0.5,20000,2,0,bloom,22.9375,10213,10000,0
1,20000,200000,3,0.5,20000,2,1,filtered_set,37.4104,10000,10000,10213
1,20000,200000,3,0.5,20000,2,2,set,32.0146,10000,10000,20000
1,20000,200000,3,0.9,20000,0,0,bloom,22.57295,2362,2000,0
1,20000,200000,3,0.9,20000,0,1,filtered_set,27.2208,2000,2000,2362
1,20000,200000,3,0.9,20000,0,2,set,29.1,2000,2000,20000
1,20000,200000,3,0.9,20000,1,0,set,28.84375,2000,2000,20000
1,20000,200000,3,0.9,20000,1,1,bloom,22.4479,2362,2000,0
1,20000,200000,3,0.9,20000,1,2,filtered_set,29.9625,2000,2000,2362
1,20000,200000,3,0.9,20000,2,0,bloom,21.6604,2362,2000,0
1,20000,200000,3,0.9,20000,2,1,set,28.9354,2000,2000,20000
1,20000,200000,3,0.9,20000,2,2,filtered_set,27.16665,2000,2000,2362
1,20000,200000,3,1,20000,0,0,filtered_set,17.14585,0,0,406
1,20000,200000,3,1,20000,0,1,set,27.44375,0,0,20000
1,20000,200000,3,1,20000,0,2,bloom,15.7646,406,0,0
1,20000,200000,3,1,20000,1,0,set,27.01045,0,0,20000
1,20000,200000,3,1,20000,1,1,filtered_set,16.54165,0,0,406
1,20000,200000,3,1,20000,1,2,bloom,15.425,406,0,0
1,20000,200000,3,1,20000,2,0,filtered_set,16.275,0,0,406
1,20000,200000,3,1,20000,2,1,bloom,15.30625,406,0,0
1,20000,200000,3,1,20000,2,2,set,27.89585,0,0,20000
1,20000,200000,7,0,20000,0,0,bloom,23.65415,20000,20000,0
1,20000,200000,7,0,20000,0,1,set,19.1604,20000,20000,20000
1,20000,200000,7,0,20000,0,2,filtered_set,48.11045,20000,20000,20000
1,20000,200000,7,0,20000,1,0,bloom,23.4896,20000,20000,0
1,20000,200000,7,0,20000,1,1,set,18.89585,20000,20000,20000
1,20000,200000,7,0,20000,1,2,filtered_set,47.46665,20000,20000,20000
1,20000,200000,7,0,20000,2,0,set,18.21875,20000,20000,20000
1,20000,200000,7,0,20000,2,1,bloom,23.51665,20000,20000,0
1,20000,200000,7,0,20000,2,2,filtered_set,46.9271,20000,20000,20000
1,20000,200000,7,0.5,20000,0,0,set,32.70835,10000,10000,20000
1,20000,200000,7,0.5,20000,0,1,filtered_set,44.425,10000,10000,10075
1,20000,200000,7,0.5,20000,0,2,bloom,31.0771,10075,10000,0
1,20000,200000,7,0.5,20000,1,0,set,32.25625,10000,10000,20000
1,20000,200000,7,0.5,20000,1,1,filtered_set,42.5354,10000,10000,10075
1,20000,200000,7,0.5,20000,1,2,bloom,30.1625,10075,10000,0
1,20000,200000,7,0.5,20000,2,0,bloom,30.35625,10075,10000,0
1,20000,200000,7,0.5,20000,2,1,filtered_set,52.51665,10000,10000,10075
1,20000,200000,7,0.5,20000,2,2,set,34.63125,10000,10000,20000
1,20000,200000,7,0.9,20000,0,0,bloom,36.09795,2151,2000,0
1,20000,200000,7,0.9,20000,0,1,filtered_set,41.7146,2000,2000,2151
1,20000,200000,7,0.9,20000,0,2,set,28.7375,2000,2000,20000
1,20000,200000,7,0.9,20000,1,0,set,28.37085,2000,2000,20000
