seed,n,k,negative_fraction,repeat,method,ns_per_query,returned_positive,expected_positive,backend_calls
1,200000,1,0.9,4,full_scan,20.224165,20000,20000,37059
1,200000,1,0.9,4,set,30.68896,20000,20000,200000
1,200000,1,0.9,4,early_exit,20.161875,20000,20000,37059
1,200000,1,0.9,5,early_exit,19.908545,20000,20000,37059
1,200000,1,0.9,5,full_scan,20.43021,20000,20000,37059
1,200000,1,0.9,5,set,30.917085,20000,20000,200000
1,200000,1,0.9,6,full_scan,20.45042,20000,20000,37059
1,200000,1,0.9,6,set,30.368125,20000,20000,200000
1,200000,1,0.9,6,early_exit,19.959375,20000,20000,37059
1,200000,1,1,0,set,29.36104,0,0,200000
1,200000,1,1,0,early_exit,11.246665,0,0,18934
1,200000,1,1,0,full_scan,11.39729,0,0,18934
1,200000,1,1,1,full_scan,11.13625,0,0,18934
1,200000,1,1,1,set,29.89354,0,0,200000
1,200000,1,1,1,early_exit,10.9325,0,0,18934
1,200000,1,1,2,set,29.467085,0,0,200000
1,200000,1,1,2,full_scan,11.30792,0,0,18934
1,200000,1,1,2,early_exit,10.901455,0,0,18934
1,200000,1,1,3,full_scan,11.06479,0,0,18934
1,200000,1,1,3,set,29.771045,0,0,200000
1,200000,1,1,3,early_exit,11.045835,0,0,18934
1,200000,1,1,4,set,29.331665,0,0,200000
1,200000,1,1,4,full_scan,11.27104,0,0,18934
1,200000,1,1,4,early_exit,10.76375,0,0,18934
1,200000,1,1,5,full_scan,11.179165,0,0,18934
1,200000,1,1,5,set,29.47875,0,0,200000
1,200000,1,1,5,early_exit,10.688125,0,0,18934
1,200000,1,1,6,full_scan,11.013335,0,0,18934
1,200000,1,1,6,set,29.358335,0,0,200000
1,200000,1,1,6,early_exit,10.70521,0,0,18934
1,200000,7,0,0,early_exit,51.888335,200000,200000,200000
1,200000,7,0,0,full_scan,50.307085,200000,200000,200000
1,200000,7,0,0,set,20.36458,200000,200000,200000
1,200000,7,0,1,set,20.11625,200000,200000,200000
1,200000,7,0,1,early_exit,52.202085,200000,200000,200000
1,200000,7,0,1,full_scan,50.91604,200000,200000,200000
1,200000,7,0,2,set,20.439375,200000,200000,200000
1,200000,7,0,2,early_exit,52.95917,200000,200000,200000
1,200000,7,0,2,full_scan,53.872915,200000,200000,200000
1,200000,7,0,3,set,21.07167,200000,200000,200000
1,200000,7,0,3,early_exit,57.646875,200000,200000,200000
1,200000,7,0,3,full_scan,55.865625,200000,200000,200000
1,200000,7,0,4,full_scan,52.565835,200000,200000,200000
1,200000,7,0,4,set,20.355,200000,200000,200000
1,200000,7,0,4,early_exit,51.89771,200000,200000,200000
1,200000,7,0,5,set,20.33875,200000,200000,200000
1,200000,7,0,5,early_exit,51.692085,200000,200000,200000
1,200000,7,0,5,full_scan,50.736665,200000,200000,200000
1,200000,7,0,6,early_exit,52.426455,200000,200000,200000
1,200000,7,0,6,full_scan,50.924375,200000,200000,200000
1,200000,7,0,6,set,20.35333,200000,200000,200000
1,200000,7,0.5,0,early_exit,48.20125,100000,100000,100790
1,200000,7,0.5,0,full_scan,56.263335,100000,100000,100790
1,200000,7,0.5,0,set,35.18167,100000,100000,200000
1,200000,7,0.5,1,set,35.721875,100000,100000,200000
1,200000,7,0.5,1,early_exit,48.36833,100000,100000,100790
1,200000,7,0.5,1,full_scan,56.304165,100000,100000,100790
1,200000,7,0.5,2,early_exit,48.30667,100000,100000,100790
1,200000,7,0.5,2,full_scan,56.338955,100000,100000,100790
1,200000,7,0.5,2,set,36.073545,100000,100000,200000
1,200000,7,0.5,3,full_scan,55.8075,100000,100000,100790
1,200000,7,0.5,3,set,35.2425,100000,100000,200000
1,200000,7,0.5,3,early_exit,48.31667,100000,100000,100790
1,200000,7,0.5,4,full_scan,56.670205,100000,100000,100790
1,200000,7,0.5,4,set,35.36333,100000,100000,200000
1,200000,7,0.5,4,early_exit,48.122085,100000,100000,100790
1,200000,7,0.5,5,early_exit,48.179585,100000,100000,100790
1,200000,7,0.5,5,full_scan,56.16917,100000,100000,100790
1,200000,7,0.5,5,set,35.99292,100000,100000,200000
1,200000,7,0.5,6,set,35.556045,100000,100000,200000
1,200000,7,0.5,6,full_scan,57.09896,100000,100000,100790
1,200000,7,0.5,6,early_exit,49.348125,100000,100000,100790
1,200000,7,0.9,0,set,30.974795,20000,20000,200000
1,200000,7,0.9,0,full_scan,30.881875,20000,20000,21452
1,200000,7,0.9,0,early_exit,46.496875,20000,20000,21452
1,200000,7,0.9,1,set,31.116875,20000,20000,200000
1,200000,7,0.9,1,full_scan,31.05521,20000,20000,21452
1,200000,7,0.9,1,early_exit,46.715,20000,20000,21452
1,200000,7,0.9,2,full_scan,31.064795,20000,20000,21452
1,200000,7,0.9,2,early_exit,46.349585,20000,20000,21452
1,200000,7,0.9,2,set,31.461045,20000,20000,200000
1,200000,7,0.9,3,set,30.53167,20000,20000,200000
1,200000,7,0.9,3,early_exit,46.17104,20000,20000,21452
1,200000,7,0.9,3,full_scan,32.26958,20000,20000,21452
1,200000,7,0.9,4,full_scan,31.55021,20000,20000,21452
1,200000,7,0.9,4,set,31.978335,20000,20000,200000
1,200000,7,0.9,4,early_exit,46.38875,20000,20000,21452
1,200000,7,0.9,5,early_exit,46.44896,20000,20000,21452
1,200000,7,0.9,5,full_scan,33.154375,20000,20000,21452
1,200000,7,0.9,5,set,33.50146,20000,20000,200000
1,200000,7,0.9,6,full_scan,31.945415,20000,20000,21452
1,200000,7,0.9,6,set,31.72146,20000,20000,200000
1,200000,7,0.9,6,early_exit,46.409375,20000,20000,21452
1,200000,7,1,0,set,31.97271,0,0,200000
1,200000,7,1,0,early_exit,42.684165,0,0,1633
1,200000,7,1,0,full_scan,23.660835,0,0,1633
1,200000,7,1,1,full_scan,24.10271,0,0,1633
1,200000,7,1,1,set,33.073955,0,0,200000
1,200000,7,1,1,early_exit,42.844375,0,0,1633
1,200000,7,1,2,set,30.82396,0,0,200000
1,200000,7,1,2,full_scan,24.49979,0,0,1633
1,200000,7,1,2,early_exit,44.747085,0,0,1633
1,200000,7,1,3,full_scan,38.33,0,0,1633
1,200000,7,1,3,set,355.701875,0,0,200000
1,200000,7,1,3,early_exit,46.18271,0,0,1633
1,200000,7,1,4,set,40.311875,0,0,200000
1,200000,7,1,4,full_scan,23.839165,0,0,1633
1,200000,7,1,4,early_exit,44.423125,0,0,1633
1,200000,7,1,5,full_scan,23.707915,0,0,1633
1,200000,7,1,5,set,33.12146,0,0,200000
1,200000,7,1,5,early_exit,45.40875,0,0,1633
1,200000,7,1,6,full_scan,25.493125,0,0,1633
1,200000,7,1,6,set,42.22,0,0,200000
1,200000,7,1,6,early_exit,43.515,0,0,1633
2,20000,1,0,0,set,19.030205,200000,200000,200000
2,20000,1,0,0,early_exit,24.856455,200000,200000,200000
2,20000,1,0,0,full_scan,24.74625,200000,200000,200000
2,20000,1,0,1,early_exit,24.785625,200000,200000,200000
2,20000,1,0,1,full_scan,24.46375,200000,200000,200000
2,20000,1,0,1,set,18.855205,200000,200000,200000
2,20000,1,0,2,full_scan,24.73125,200000,200000,200000
2,20000,1,0,2,set,18.93604,200000,200000,200000
2,20000,1,0,2,early_exit,25.447085,200000,200000,200000
2,20000,1,0,3,early_exit,25.37396,200000,200000,200000
2,20000,1,0,3,full_scan,24.530205,200000,200000,200000
2,20000,1,0,3,set,18.86375,200000,200000,200000
2,20000,1,0,4,set,18.622085,200000,200000,200000
2,20000,1,0,4,full_scan,24.831875,200000,200000,200000
2,20000,1,0,4,early_exit,25.158125,200000,200000,200000
2,20000,1,0,5,early_exit,25.00625,200000,200000,200000
2,20000,1,0,5,full_scan,24.373955,200000,200000,200000
2,20000,1,0,5,set,18.92792,200000,200000,200000
2,20000,1,0,6,set,18.61271,200000,200000,200000
2,20000,1,0,6,full_scan,24.542705,200000,200000,200000
2,20000,1,0,6,early_exit,25.003335,200000,200000,200000
2,20000,1,0.5,0,early_exit,34.46521,100000,100000,109484
2,20000,1,0.5,0,set,33.010835,100000,100000,200000
2,20000,1,0.5,0,full_scan,34.77729,100000,100000,109484
2,20000,1,0.5,1,full_scan,34.326045,100000,100000,109484
2,20000,1,0.5,1,set,33.19625,100000,100000,200000
2,20000,1,0.5,1,early_exit,34.36125,100000,100000,109484
2,20000,1,0.5,2,early_exit,34.15229,100000,100000,109484
2,20000,1,0.5,2,set,33.23333,100000,100000,200000
2,20000,1,0.5,2,full_scan,34.55604,100000,100000,109484
2,20000,1,0.5,3,full_scan,34.336875,100000,100000,109484
2,20000,1,0.5,3,set,32.995,100000,100000,200000
2,20000,1,0.5,3,early_exit,34.514375,100000,100000,109484
2,20000,1,0.5,4,full_scan,34.385,100000,100000,109484
2,20000,1,0.5,4,set,33.133335,100000,100000,200000
2,20000,1,0.5,4,early_exit,34.39,100000,100000,109484
2,20000,1,0.5,5,set,33.30083,100000,100000,200000
2,20000,1,0.5,5,early_exit,34.4175,100000,100000,109484
2,20000,1,0.5,5,full_scan,34.639585,100000,100000,109484
2,20000,1,0.5,6,early_exit,35.20021,100000,100000,109484
2,20000,1,0.5,6,set,33.315,100000,100000,200000
2,20000,1,0.5,6,full_scan,34.86125,100000,100000,109484
2,20000,1,0.9,0,full_scan,19.09021,20000,20000,37138
2,20000,1,0.9,0,early_exit,18.526875,20000,20000,37138
2,20000,1,0.9,0,set,29.141045,20000,20000,200000
2,20000,1,0.9,1,set,28.649375,20000,20000,200000
2,20000,1,0.9,1,full_scan,19.110625,20000,20000,37138
2,20000,1,0.9,1,early_exit,18.69375,20000,20000,37138
2,20000,1,0.9,2,full_scan,19.20021,20000,20000,37138
2,20000,1,0.9,2,set,29.16479,20000,20000,200000
2,20000,1,0.9,2,early_exit,18.744165,20000,20000,37138
2,20000,1,0.9,3,set,29.47979,20000,20000,200000
2,20000,1,0.9,3,early_exit,18.61896,20000,20000,37138
2,20000,1,0.9,3,full_scan,19.22729,20000,20000,37138
2,20000,1,0.9,4,full_scan,18.99021,20000,20000,37138
2,20000,1,0.9,4,set,28.866875,20000,20000,200000
2,20000,1,0.9,4,early_exit,18.75354,20000,20000,37138
2,20000,1,0.9,5,full_scan,19.148335,20000,20000,37138
2,20000,1,0.9,5,set,29.21792,20000,20000,200000
2,20000,1,0.9,5,early_exit,18.82417,20000,20000,37138
2,20000,1,0.9,6,early_exit,18.488335,20000,20000,37138
2,20000,1,0.9,6,set,28.901875,20000,20000,200000
2,20000,1,0.9,6,full_scan,19.212295,20000,20000,37138
2,20000,1,1,0,set,28.55646,0,0,200000
2,20000,1,1,0,full_scan,10.56875,0,0,19109
2,20000,1,1,0,early_exit,10.37875,0,0,19109
2,20000,1,1,1,full_scan,10.467915,0,0,19109
2,20000,1,1,1,early_exit,10.245415,0,0,19109
2,20000,1,1,1,set,28.10583,0,0,200000
2,20000,1,1,2,set,28.226665,0,0,200000
2,20000,1,1,2,full_scan,10.38896,0,0,19109
2,20000,1,1,2,early_exit,10.137705,0,0,19109
2,20000,1,1,3,full_scan,10.405,0,0,19109
2,20000,1,1,3,set,28.12917,0,0,200000
2,20000,1,1,3,early_exit,10.07083,0,0,19109
2,20000,1,1,4,full_scan,10.328335,0,0,19109
2,20000,1,1,4,set,27.929585,0,0,200000
2,20000,1,1,4,early_exit,10.09417,0,0,19109
2,20000,1,1,5,early_exit,10.145,0,0,19109
2,20000,1,1,5,set,28.16229,0,0,200000
2,20000,1,1,5,full_scan,10.491665,0,0,19109
2,20000,1,1,6,full_scan,10.398125,0,0,19109
2,20000,1,1,6,set,27.975205,0,0,200000
2,20000,1,1,6,early_exit,10.33896,0,0,19109
2,20000,7,0,0,set,18.992085,200000,200000,200000
2,20000,7,0,0,early_exit,47.66708,200000,200000,200000
2,20000,7,0,0,full_scan,46.600625,200000,200000,200000
2,20000,7,0,1,early_exit,47.559585,200000,200000,200000
2,20000,7,0,1,full_scan,46.43917,200000,200000,200000
2,20000,7,0,1,set,19.02646,200000,200000,200000
2,20000,7,0,2,full_scan,46.831045,200000,200000,200000
2,20000,7,0,2,set,20.01979,200000,200000,200000
2,20000,7,0,2,early_exit,48.533335,200000,200000,200000
2,20000,7,0,3,early_exit,47.70229,200000,200000,200000
2,20000,7,0,3,full_scan,46.63104,200000,200000,200000
2,20000,7,0,3,set,19.171665,200000,200000,200000
2,20000,7,0,4,set,18.97604,200000,200000,200000
2,20000,7,0,4,full_scan,46.530415,200000,200000,200000
2,20000,7,0,4,early_exit,48.49229,200000,200000,200000
2,20000,7,0,5,early_exit,48.042705,200000,200000,200000
2,20000,7,0,5,full_scan,46.90417,200000,200000,200000
2,20000,7,0,5,set,19.405415,200000,200000,200000
2,20000,7,0,6,set,18.900835,200000,200000,200000
2,20000,7,0,6,full_scan,46.492085,200000,200000,200000
2,20000,7,0,6,early_exit,47.81292,200000,200000,200000
2,20000,7,0.5,0,early_exit,43.787085,100000,100000,100806
2,20000,7,0.5,0,set,33.093125,100000,100000,200000
2,20000,7,0.5,0,full_scan,50.800205,100000,100000,100806
2,20000,7,0.5,1,full_scan,50.835625,100000,100000,100806
2,20000,7,0.5,1,set,34.42979,100000,100000,200000
2,20000,7,0.5,1,early_exit,44.68875,100000,100000,100806
2,20000,7,0.5,2,early_exit,43.66875,100000,100000,100806
2,20000,7,0.5,2,set,33.156045,100000,100000,200000
2,20000,7,0.5,2,full_scan,51.077915,100000,100000,100806
2,20000,7,0.5,3,full_scan,50.86354,100000,100000,100806
2,20000,7,0.5,3,set,33.885625,100000,100000,200000
2,20000,7,0.5,3,early_exit,43.62,100000,100000,100806
2,20000,7,0.5,4,full_scan,50.75667,100000,100000,100806
2,20000,7,0.5,4,set,33.45896,100000,100000,200000
2,20000,7,0.5,4,early_exit,44.148125,100000,100000,100806
2,20000,7,0.5,5,set,33.399375,100000,100000,200000
2,20000,7,0.5,5,early_exit,44.355415,100000,100000,100806
