seed,n,m,k,negative_fraction,queries,repeat,order,method,ns_per_query,returned_positive,expected_exact_positive,backend_lookups
1,20000,200000,3,1,200000,1,0,filtered_set,18.09604,0,0,3504
1,20000,200000,3,1,200000,1,1,bloom,16.213335,3504,0,0
1,20000,200000,3,1,200000,1,2,set,28.81854,0,0,200000
1,20000,200000,3,1,200000,2,0,bloom,15.886875,3504,0,0
1,20000,200000,3,1,200000,2,1,filtered_set,17.252295,0,0,3504
1,20000,200000,3,1,200000,2,2,set,27.69625,0,0,200000
1,20000,200000,3,1,200000,3,0,bloom,15.77125,3504,0,0
1,20000,200000,3,1,200000,3,1,filtered_set,17.796875,0,0,3504
1,20000,200000,3,1,200000,3,2,set,27.58208,0,0,200000
1,20000,200000,3,1,200000,4,0,set,27.443125,0,0,200000
1,20000,200000,3,1,200000,4,1,bloom,15.94604,3504,0,0
1,20000,200000,3,1,200000,4,2,filtered_set,17.14,0,0,3504
1,20000,200000,3,1,200000,5,0,bloom,15.981875,3504,0,0
1,20000,200000,3,1,200000,5,1,filtered_set,17.234375,0,0,3504
1,20000,200000,3,1,200000,5,2,set,27.69354,0,0,200000
1,20000,200000,3,1,200000,6,0,set,28.4675,0,0,200000
1,20000,200000,3,1,200000,6,1,filtered_set,17.338955,0,0,3504
1,20000,200000,3,1,200000,6,2,bloom,15.82083,3504,0,0
1,20000,200000,7,0,200000,0,0,filtered_set,47.866045,200000,200000,200000
1,20000,200000,7,0,200000,0,1,bloom,23.540625,200000,200000,0
1,20000,200000,7,0,200000,0,2,set,18.6375,200000,200000,200000
1,20000,200000,7,0,200000,1,0,set,18.41479,200000,200000,200000
1,20000,200000,7,0,200000,1,1,bloom,23.602085,200000,200000,0
1,20000,200000,7,0,200000,1,2,filtered_set,48.423545,200000,200000,200000
1,20000,200000,7,0,200000,2,0,filtered_set,48.545415,200000,200000,200000
1,20000,200000,7,0,200000,2,1,set,19.06021,200000,200000,200000
1,20000,200000,7,0,200000,2,2,bloom,23.50458,200000,200000,0
1,20000,200000,7,0,200000,3,0,filtered_set,49.12625,200000,200000,200000
1,20000,200000,7,0,200000,3,1,set,18.750835,200000,200000,200000
